season,gender,match_date,home_team,away_team,home_score,away_score,outcome,set_1_home,set_1_away,set_2_home,set_2_away,set_3_home,set_3_away,set_4_home,set_4_away,set_5_home,set_5_away,match_url
2019,women,2019-06-11,China,Poland,3,0,1,25,12,25,18,25,22,,,,,https://www.flashscore.com/match/2qZFjv5S/#/match-summary
2019,women,2019-06-11,Japan,Brazil,1,3,0,17,25,19,25,25,20,22.0,25.0,,,https://www.flashscore.com/match/ltVBiKkM/#/match-summary
2019,women,2019-06-11,USA,Turkey,0,3,0,15,25,17,25,25,27,,,,,https://www.flashscore.com/match/fJV7h0zG/#/match-summary
2019,women,2019-06-11,Serbia,Thailand,0,3,0,22,25,23,25,21,25,,,,,https://www.flashscore.com/match/GSW3gtL9/#/match-summary
2019,women,2019-06-06,USA,Brazil,1,3,0,19,25,17,25,25,22,20.0,25.0,,,https://www.flashscore.com/match/bixafM53/#/match-summary
2019,women,2019-06-06,Germany,South Korea,3,0,1,25,15,25,22,25,16,,,,,https://www.flashscore.com/match/K0wee2jc/#/match-summary
2019,women,2019-06-06,Belgium,Serbia,3,0,1,25,21,25,21,25,14,,,,,https://www.flashscore.com/match/6ckDWIDd/#/match-summary
2019,women,2019-06-06,Poland,Russia,3,2,1,25,23,24,26,25,27,25.0,20.0,15.0,9.0,https://www.flashscore.com/match/fNo9Xbbj/#/match-summary
2019,women,2019-06-06,China,Italy,3,2,1,18,25,22,25,25,23,26.0,24.0,15.0,13.0,https://www.flashscore.com/match/Cbd4Yvqp/#/match-summary
2019,women,2019-06-06,Thailand,Turkey,0,3,0,16,25,18,25,13,25,,,,,https://www.flashscore.com/match/AkAxwLzT/#/match-summary
2019,women,2019-06-06,Japan,Netherlands,3,0,1,25,17,25,17,25,21,,,,,https://www.flashscore.com/match/tG5Yw1LM/#/match-summary
2019,women,2019-06-06,Bulgaria,Dominican Republic,1,3,0,20,25,21,25,31,29,20.0,25.0,,,https://www.flashscore.com/match/2P6Uvs6G/#/match-summary
2019,women,2019-06-05,USA,Germany,3,0,1,25,18,25,22,25,18,,,,,https://www.flashscore.com/match/K0HPuNjA/#/match-summary
2019,women,2019-06-05,South Korea,Brazil,0,3,0,17,25,16,25,11,25,,,,,https://www.flashscore.com/match/6cDLt3y4/#/match-summary
